Text,Sentiment (POS/NEG/NEU)
Aitmad hy shan products pr,Positive
shan walo ki ad ma larki? Khair to ha?,Neutral
Ab ati rahain gi,Neutral
Churiyan hon to sirf Hyderabad ki,Positive
zabardast Kya baat hai Shan ki,Positive
Aur Haleem bhi karachi ki R NEHARI BHI KARACHI KI HI ACHCHI HOTI HAI,Positive
kab bhej raha hai phir,Neutral
Mein ne to bol dia,Neutral
ye larkii mujhyy terii tarhann lagtii h bilkul,Neutral
acha g ye to apka pyar h k m apko itni achi lgti hu,Positive
Demagh py lag gaya ad,Positive
Chooriyan sirf or sirf Hyderabad ki hon,Neutral
Mara kitchen. Shan ky bagyr adoh ra h,Neutral
Bachay to barhay ho jatay hain lekin aaj kal ke bacho ke liye zaroori hai ke unhain woh khaas ghazaiyat milay jis se woh seekhtay jaen aur agay barhtay jaen,Positive
Kia shan masaloon main sumac ka Powder available hai plz bata dein,Neutral
Buhat achy hoty by shan masala speciall Bomby biryani aur tikka masala zabardast,Positive
Bachpan m dekhty thy ammi pakati thi shan m Ab shadi hoagai to khud banaty hy,Neutral
MashaAllah bohat zaber 10 haleem banta hay,Positive
Banay ka details method bata dy please,Neutral
Bana k kha b lia bht lazi tha haleem or shan k sare masale bht zabardsat hote hain,Positive
Shan ka har masala he bhatreen hota h specially biryani ufff so yummy,Positive
logon ko ad n Biryani se ziada Larkay main interest hai.. lolxx,Neutral
mujhy bhi asa mily,Neutral
urti chiriya k par gin leti hun m,Neutral
Magar phir bh acha h yr,Positive
khooob dil lga k prhyngy,Positive
Han Main to maths k period ka hi wait karti rahungi,Neutral
pink shirt waly ka name etc,Neutral
Aunty ap keh daiteen ..mein mamo k sath bhijwa daiti.,Neutral
mummy bhe yahin say lay k jati theen,Neutral
ye lena hai,Neutral
Allah uh k naseeb achy krn Ameen,Positive
ye to meri jan khuwab main b milny k chance ne,Neutral
Khwab me na milay sachi me mil jaye,Neutral
Allah kry mill jaen Ameen,Positive
Sab ko.apna apna lgta hi hoga pyara,Neutral
Yr bht hi acha advertised h,Positive
mjhy ya chahiye,Neutral
lBA chlna mere sth,Neutral
Ya milega wahan ??,Neutral
Ho sqta h koi china copy mil jai,Neutral
Mjhy original copy hi chahiye,Neutral
Tma is sa acha mily ga mere haseen dst,Neutral
1 jumlay ma 2 achi batain wo b tm bola. .. gazab hogaya. . Ameen suma ameen,Neutral
Kbhi kbhi jhoot bolna prta h,Neutral
Ya bolo galti se sach nikal gaya mu se,Neutral
Shan Khushiyaan Chakh Lo,Positive
is ka numbr dy do shan walo,Neutral
Faisalabad main tou BurgerLab nai ha,Negative
Iss burger ko khany k liye mounh (mouth) kisi jak sey kholna perhy ga,Neutral
"Dikhnay mein bara hai, asal mein nahin",Neutral
ager aisa jaisey aap kah rahy hain phir theek hai,Neutral
Kahna kea chahty ho bhai,Neutral
ye kehna chahte hain k sara paisa inko dedo,Neutral
kia scene ha,Neutral
Hamare area me ap delivery dete hi nahi...we can't avail this offer,Negative
Lagta hy testy hy,Neutral
Smjh ni i,Neutral
mry lye b mngvaalna,Neutral
bhai kis kam p lg gya h tu,Neutral
kuch yad agya mujhy,Neutral
tm sb paindu ho,Neutral
Kb tak valid ha ye offer ?,Neutral
is ma tax nahi ha wo add Kar ka 1250 ka ha,Neutral
tmhry kal ka intezam hogya,Neutral
Sb se fariq taste inhi ka hy,Negative
kio nai khul rha ye,Negative
maheeny hogaye announcement ko,Neutral
Kaka reply ni kr rha,Neutral
Wohi contact kr sakta itni high profile celebrity sy,Neutral
kab khila rahi hoo,Neutral
jb tm le ao..... Apny hath s khilaaungi pakka Wala wada,Neutral
mery braces itna bara burger khany ki ijazat nhi dety mjhe,Neutral
to tum koi chota mangwa lena,Neutral
aisy burgers ki pictures dekh ky rona ata hai mjhe,Neutral
Tu kal yeh khila rha,Neutral
acha kal ata hun phr karty hain kuch,Neutral
number nhi pata mujhe,Neutral
haas kya raha hai,Neutral
Bohat acha hua tere sath sala junior milta nahi hai,Neutral
abay ja  tu khud nae milta,Neutral
Ye na thi hmari qismat k wisal e yar hota,Neutral
kal har halat mein ye try krna ha jo b hojai,Neutral
khila daina bahi kar lain ga try,Neutral
meny ni krna try mujy pta ha kisi kam ka ni,Neutral
bus phir sahi hau,Neutral
mjhy treat dou Meri baddy ki,Neutral
yahan mai pighal jati hun,Neutral
kuch to khayal kro......,Neutral
bhai apka khayal hi kr rahe hain. Apka ilaj jo chal raha haii.,Neutral
yeh deal kb tk k liye hai?,Neutral
Kuch smjh nhe arha kia likha ha,Neutral
ameer tm chal rhay ho,Neutral
hamare wqt yad h,Neutral
Abe mat khana isme beef wala kharab hai,Negative
Wese bhi hm char hi hutyn hyn,Neutral
Achaw ye tw nai andaza mjhe,Neutral
yahan hi chalty hen phr,Neutral
Chorrrr sab chotey chotey burgers,Negative
mid kay baad rakhay kya kehta h Ahmad tb tk free ho sktay hain sb hna,Neutral
chal bhai jb marzi,Neutral
tb tk offer valid ni ha,Neutral
yrr wo mnay parha hi ni,Neutral
puri tayyari K sath ap log paish e khidmat hain,Positive
zindagi mein pahli daffa koi kaam kar do mera,Neutral
koi faida nai phir tumhara humy,Neutral
dekh anju sab ghalat ho raha hai,Neutral
han dkh rha ab aa k ye sahi krga,Neutral
aby yeh burger lab Waly bhi mazy lerhy yr,Neutral
thk nhi horha londy ky. Sath,Neutral
ab wo b kia krein sahi nam pr discount rekh diye uhnone to,Neutral
Aby barbad hongy daikh liyoooo,Neutral
han dekh liya chal usi ko pakarlo,Neutral
25% off dydiya burger lab walon ny,Positive
yar chalain kisi din phir,Neutral
apkay pas bhi moqa hai,Neutral
dekh sirf tje discount mil raha h,Neutral
laikn msla yahan ata hai mbl mai storage nahi,Neutral
koi to acha kaam kia tm nai,Neutral
bhai aj tu bohat acha kiuu lgg raha mjhy,Neutral
kya khayal hy phir,Neutral
legit deal ha yr,Positive
value hi barh gai usman ki yawr,Neutral
Burger lab bohat zabardast,Positive
menay bohat dafa complain ki ha burger lab pe staff or policies k halwalay se lekin koi response nai dia.,Negative
yar avg 350 Rs ky burger may kea jaan lo gay.,Neutral
isko kesey pata healthy ha... isnay bntay dekha ??,Neutral
aap k hote howe kia ho rha he,Neutral
Abi tk order deliver nh hua two weeks ho gye,Negative
Ap ne meray sawal ka replay nai dia messenger pe,Negative
Bekar cheez ha,Negative
bohat buri management ha ,Negative
Koi Design tu share karin,Neutral
waistcoats sale pe kyun nai ha?,Neutral
kia ye stores pe ha?,Neutral
sirf online ha stores pe nai ha ye?,Neutral
kia ye sale pe dastiyab honagay blessed friday ko?,Neutral
ye abhi decide nai hua ha,Neutral
me ye brand use kar raha hoon bohat zabardat or calssic ha,Positive
agar me online order karun to kitna time lagay ga delivery me?,Neutral
delivery me kam az kam 3 din or ziada se ziada 5 din lagtay hain,Neutral
jo chiz hay hi 3thousand wo 8hzar k likh kay 2900 kr di.pehli dafa mayosi hui brand say.,Negative
ma to har dafa mayous hota hoon,Negative
right last year ye dramay bazi nhi thi,Neutral
ye chez bilkul thk kahi apne sale me dhoka he hota hai,Negative
bht afsos hoa phr to,Negative
Fazool qisam k dresses per discount laga detay hain,Negative
Last year MN ny 4500 ki zinc color me ek jarsi li the dinner sy but first wash me he os ka color Sara ghyeb aur white line ban gai wapsi I.lie clam Kia tu ap logo NY bohat betmeezi ki Kia itny mihngy brand ki cheez b kherab he honi ha banda phr 1000 ki jarsi ly ly jo 10saal bad b color kherab nhe hota,Negative
Apky bhtijon k b a gy hn kpry,Neutral
40% off Hy abi kids k kapro py,Neutral
ye suite website pe nai dikh raha,Neutral
Is ka code bta dain,Neutral
Kia ye rawalpindi sadar main shop p available hy?,Neutral
sir me apko saddar branch rawalpindi ka contact number de raha hoon ap un se contact kar saktay hain,Neutral
mardan or peshawar me store kis jahag ha?,Neutral
bohat piyar color ha,Positive
ye regular ha ye slim fit ha,Neutral
please show sole ki quality ko improve karen..price k hisab se shole ki quality bohat bekar ha,Negative
shirt or pents ki price kia ha?,Neutral
me ye full dress khareedna chahata hoon ,Neutral
ap hamaray order kab deliver karengay?,Neutral
menay 1 royal blue or 1 lite brown trouser order kia tha or inho ne mujhay green or grey bhej dia,Negative
meray order kab ayega?,Neutral
dhoke baz brand,Negative
yahan koi 300 ya 700 wali deal nai ha,Neutral
kia mazak ha... sirf kuch deal he 990 ki han wo b bekar quality k sath,Negative
Kb tk hy off ?,Neutral
Kya deal hy?,Neutral
bohat he irresponsible shipping compay diners istimal karti ha ,Negative
menay 9 din pehaly order kia tha advance payment pe lekin abi tak order nai aya,Negative
kia apne paisay advance me diye thay?,Neutral
Cod kia kro online hamesha,Neutral
cod sahi tarika ha pay karnay ka,Neutral
aj mujhay apna order mila ha out class shirt ha maza agaya,Positive
pent bhe ly ly 40%off hy,Neutral
Or apny ordr kis din kia tha?,Neutral
dear mane Jo li uski price 1917 th,Neutral
Mjhy abi tk nh mila,Negative
aj 8 oct  ha n still mjy ordr rcv nh hua,Negative
Price b mntn krn sath,Neutral
White.winter shalwar and Kameez ki pic bjo,Neutral
2 sal k bachay k liye pant shirt available ha?,Neutral
"Jis colr ki belt ho wysy hi shoes pyhnty hain ,,dresing k b asool hoty hain sir",Neutral
Faisalabad me ap ki shop rcg k ilawa kha he,Neutral
menay eid pe 70 hazar ki shopping ki thi is ghatiya brand se sari cheezen bekar hain ,Negative
agar apko kuch change karna ho to diners ki team response nai deti,Negative
"Flat nhn h, sirf kuch atoms pe discount h",Neutral
menay order kara tha but koi jawab nai aya,Negative
zabardast brand white shirt lao yr.. kb say bola hoaa hh.,Positive
me black valvet suite khareedna chahata hoon kia wo available ha?,Neutral
bekar management ha,Negative
menay 40 din pehlay order kia tha lekin abi tak order nai aya,Negative
batane ka shukria,Positive
tone konsi leni thi,Neutral
Yar kya hai jazbat me ab lene Wala tha,Neutral
apko koi legal action lena chahiye,Neutral
apki products asli hoti hain,Positive
mujhay pehlay he pata tha,Neutral
ye log kesay courier service use kar rahay hain ap k name k sath?,Neutral
Or menay yahan se jacket order ki thi,Neutral
Mainy b mngwai hui,Neutral
zabardast ha apko surprise milay ga,Positive
aj he mujhy apni jacket mili ha,Neutral
Jo chez diners outlet sy purchase Karo wo bi defected nekal ATI Hy,Negative
kise ko tu Mafi Da dia kro Sarkar,Neutral
asli ka kesay pata chalay ga?,Neutral
aby o idr b window shopping krny aya h kiya,Neutral
Kaprey milty Hain yehan se jahil ... Window NH milti,Neutral
tere is joke p booht hansi aa rhi ha,Neutral
Mein apk outlet se purchse ki h wahan pent colour kharwb hogy 4 dafa asa hova h,Negative
Range Kaha sy start hoti ha ?,Neutral
aj kuch shirts khariden hain..,Neutral
sardion ka stuff ka mile ga?,Neutral
kharab kaprey mile hain ...bekar,Negative
store p ao phr sochte hn apko shirt deni b h ni,Neutral
jese aap beter smjy,Neutral
bhai tersy asaasy bht ziada haan i know,Neutral
asli nai ha,Negative
diners ki polo shirt kharede hain bohat bekar stuff ha ,Negative
40% flat discount ki sale kis date se shuru hogi?,Neutral
menay order kara tha 14 sep ko phir apki confirmation call bhi ai the but us k bad koi jawab nai mila,Negative
kia ye sale abhi bhi chal rahi ha?,Neutral
sale khatam hogai ha,Neutral
har brand flat 50% de rahay hain or ap sirf 25%,Negative
sir mujhay waistcoat chahiye,Neutral
me hyderi store gai thi lekin waha koi discount nai tha,Negative
defence day k hawale se koi discout?,Neutral
sky blue kurta mojood ha?,Neutral
Quality m frk hy kia,Neutral
koi farq nai ha,Neutral
sirf service shoes pe he ap ko comfortable or resonable shoes mil saktay hain,Positive
jab me bacha tha tab se service ki products le raha hoon,Positive
menay black ndure khareda tha apkay lahore outlet se is saal ,Neutral
last week me nay dekha k wo damage hogaya tha jab k menay sirf aik do bar he use kia tha,Negative
me wapis karane same store gaya tha but meray pas invoice nai thi to unhone saaf mana kardia,Negative
manager ne meri request pe koi action nai lia or saaf mana kardia,Negative
mujhay apki service se bohat mayosi hui,Negative
shayad apko koi ehsas nai ha customer ko achi service denay ka,Negative
apkay tarha k big brand asi harkaten karengay to koi apki service nai lega,Negative
shayad apko koi parwa nai,Negative
umeed karta hoon kuch positive reponse milega apki taraf se,Positive
me or meri family ab koi product nai laygi service se,Negative
apka staff bohat rude ha,Negative
kal menay apki branch visit ki sleepers khareednay k liye lekin waha price different thi or website pe kuch or...disappointed,Negative
apka toll free number koi nai utha ta,Negative
me apkay arrogant manager k againt aik complain dena chahta hoon,Negative
me bachpan se service ki products khareed raha hoon,Positive
menay kal service se shoes buy kiye but wo front se kharab thay,Negative
store manager se mujhay bohat disappointment hui,Negative
yehi cheez meray sath bhi hui mall me unho ne replace karne se mana kardia,Negative
same cheez meray sath hui dha lahore wali branch me,Neutral
menay service ki products 5 saal pehlay he chor di hain kharab quality ki waja se,Negative
ye bohat jhot boltay hain ,Negative
free delivery likhi hoti ha leki jab product ati ha to usme delivery charges include hotay hain ,Negative
service shoes expire cheezen becha raha ha is sale me,Negative
2 3 bar shoes pehanay k bad shoes bekar hojatay hain ,Negative
menay company ko complaine ki to unho ne kahan sale items ki koi warranty nai hoti,Negative
zabardast design or resonable price,Positive
shoes bohat mehangay or ghatiya quality ,Negative
me ab kabhi service se koi cheez nai khareedonga,Negative
ye 1 month warranty detay hain or shoes 2 months bad he kharab hona shuru hojatay hain,Negative
company ki taraf se koi compensation nai hota,Negative
staff bohat acha ha or bohat variety ha sale pe,Positive
bata se acha design ha service ka,Positive
Ya kis jagah ha,Neutral
menay skin color k shoes khareeday tha service se but next din he uska color utarne lag gaya ,Negative
me shop gai exchange karane but unho ne mana kardia,Negative
counter men ne bohat rudly behave kia ,Negative
Aisa kuch nhe he agar apne complained ki he to us pa focas hota he jald us jald customers ki problem solve ki jate he,Positive
service bohat buri ha old design or bohat mehangay,Negative
"G nhe its true, service ne koi response nhe dia tha USS waqt hee OK.i has face that.service Ki aesi koi best policy nhe hai Brother.",Negative
menay formal shoes khareeday thay but 3 din bad he wo kharab hogaye...poor quality,Negative
bohat achi quality zabardast look k sath,Positive
service k sath mera bohat bura experience raha,Negative
menay ye article kahreeda the sarghoda branch se but wo 2 din bad he lastic side se kharab hogaya,Negative
repari k bad wo comfortable nai raha,Negative
menay malir cantt wali branch visit ki bohat he bura experince raha,Negative
salesmen ne fresh piece nikala to sole k neechay cockroch nikla,Negative
"ma’am aapko chahiye tou aap hamaray UAN number pe call kar ke keh dein, humein tou allowed nahi hai stock mangana",Neutral
Kholi hui kiyun hai dukaan aap ne?,Neutral
Band kar ke beth jayein.,Neutral
ap logo ka bohat he bura attitude ha,Negative
ap ki aik outlet pe shoes original price se ziada mehnagy mil rahay hain,Negative
me or meri family ab kabhi bhi service ki proudcts use nahi karay gi,Negative
inko customer treat karna nai atay,Negative
ye khoobsurat or achay hain quality bhi achi ha,Positive
service ki quality bohat buri ha or bohat bura staff ha,Negative
manager ka behaviour bohat bura tha,Negative
service ko action lena chahiye warna koi unki products nai lega,Negative
kindly sir apne managers or staff ko tarin karen,Negative
apkay outlet managers ko baat karne ki tameez nai ,Negative
bohat he buri service or bohat he bura treatment,Negative
sirf 2 ghantay bad he meray feets me pain shuru hogaya ha,Negative
me service 22 saal se use kar raha hoon..best shoes in Pakistan,Positive
serivice shoes ki koi quality nai ha,Negative
apne paisay service shoes pe barbad mat karen,Negative
Shoes ka dabba phatta hoa,Negative
Shoppers available nai branch pe.. Kia itne bure halaat ho gae hen service k,Negative
customers itne expensive shoes phatte dabbe or without shopper hath me le k Jaen,Negative
Manager SamiUllah bohat rude ha,Negative
Ap Kay pass Ak maha ki warnty hoti hai agar Koi issue ho to pair's change karwa lain jab demand ziyada ho to asay hona Koi Bari baat nhi hoti Ap jota lay Jain ap ko niya Mill Jay gha,Positive
asa kuch nahi hy main nay 3rd june ko shoes leyai and claim de te 10june ko g9 markaz Islamabad main and main kal pohnay gaye to ulta shop wala badtamezi karnay lagha,Negative
shoes 7days bad wapis keyai poray patay howay even sol say he alagh hogaye tay and upar say leather be kharab hogeya ta,Negative
mujhyya kindly bataye in ke complaint kahan and kasi karni hy,Negative
Agar ho sakay to plz us Jotay ki pick send kar dain inbox main,Neutral
ye bohat he buri quality or expired shoes baich rahay hain sale pe,Negative
menay 6 pairs khareeday bohat he buri quality ....paisay zaya,Negative
serivce customer ko achay se treat nai karta,Negative
dusri products se ye boha achay hain,Positive
menay ik complain inbox ki thi but apkay staff ne koi response nai dia,Negative
me nai chahata k dosray log bhi apki service se nuqsan uthain ,Negative
me apko shoes gift karna chahata hoon Jo just 2 hours chly. 4000 k liy thy Ndure k hein . 4 hours to chlty yar 1000 per hour kah skta bnda,Negative
Apki outlet ny repair kiy again 2 din chaly bus.,Negative
Aur repairable b nhe hein,Negative
Plz apna address send krein head office ka,Neutral
shoes industry ka best brand ha,Positive
Ghatiya tareen products,Negative
bohat he bura attitude ha salesmen ka..customer ko loot rahay hain ye log,Negative
achi shoes quality ha,Positive
koi return policy nai ha inki,Negative
Bht achi sleepers hyn service ki or price reasonable hyn... bht zbrdst,Positive
service kabhi apni quality pe compromise nai karta,Negative
main ne kuch month pehly servis say aik shoes Ndure lia tha takreeban 3000 ka city jacobabad say main kafi arsay say servis shoes leta araha hon lekn aaj tak esa jali shoes nahe dekha hai,Negative
apko apna standard maintain karna chahiye,Negative
purane or bohat mehangay shoes plz kuch bhi service se na khareedain,Negative
me service 2006 se use kar raha hoon,Positive
Jis k pass haram ka hai woh service ley,Negative
puray Pakistan me sub se acha brand ha,Positive
Sir Taxila me Jo christion hosptl k samny aplog ki outlet hy waha WO apni prices LGA k bthy hy hundrd rupee zada hy,Negative
meri eid ki shopping service se he shuru hoti ha,Positive
outlets managers bohat he unprofessional hain,Negative
I just like it Achi branch se lein chez kabhi b complaint nahi hui koi b,Positive
mujhay nahi pasand,Negative
peso ki barbaadi hay koi bhi mat khareedo in say pesay zaya ho jaengay,Negative
bilkul beekaar quality hay 3 month bhi nhi chaltay pehlay hi month khul gay,Negative
bkwas ek din jo pair 1000 ka tha usy 1500 ka kr ky flat 30℅ off,Negative
Me ne July 2017 me Aik Complaint fb per Send ke the. Lekin aap ke Team ne abhi tak Rabta nhi kia.,Negative
Kia july2018 me aap ke Team Rabta kare ge?,Neutral
aik month baad e khrab ho gay or complaint ki to b koi responce nhe kiya,Negative
jub b liye tout gae,Negative
plz iss ko thkk kare,Negative
shop..barii ni rahkee... mihyarr thk rahkee,Negative
bari herat ki baat hy,Neutral
service local brand hn jb local brand hi logon k sath ye kry ge tu better nhi hum imported shoes buy kr ln,Negative
Sir 70 persent sale kb lagy gi,Neutral
Kia online order nahi kar sakty,Neutral
Bilkul kar saktay hain!,Neutral
Liza py bhi sale hy?,Neutral
Sale ha service par,Neutral
Summer sale end ho gie hy ya abi hy,Neutral
Price kia hy?,Neutral
Inthai bqwass items hain laya hn sala hafta ni chly Doncolers bqwass items,Negative
school shoes p b sale h,Neutral
Online sale products kahn h? Na google p arha h na apki web py,Neutral
Sale kb tk hai?,Neutral
Kab se start hui hai sale,Neutral
Ab mil rahi hain puri collection per unbelievable offers,Positive
eid mubarak ho ap ko service walo ko,Positive
Khaer mubarak!,Positive
Bilkul sai kaha,Positive
Jo bat hai,Neutral
In ko bhi Nazar agya magar hilal community walo ko Nazar nahi Ana,Negative
300 ki koi chapal hai?,Neutral
Shetan Aazad ho gaya,Negative
Sale lage gi kya,Neutral
Sab se barri sale kay sab se barray shoppers,Neutral
Sb bakwas hy sale k naam py ye lut rhy hn,Negative
koi jhelum me b jogger or dres shoes ki bej diya kare,Neutral
Friday taimng kya hy,Neutral
Abhi bhe time hai,Positive
mujhe aik joota chahiye yahan kisi k pas nahi jis k pas hai wahan mera size nahi,Neutral
Raseed k bina shoes change ho jaye ga,Neutral
price kuin nahe shoes pr,Neutral
2000 ka jora dusry din tut jay to wapis clam nhe ho ga.,Negative
jo pasand ayega us py 10 percent,Neutral
Sunday ko shop kholi hoti hy kya,Neutral
atd me to koi sale nh hy servis shoes pe,Neutral
Kb sa kb tk ke hea sale,Neutral
R lahore mein khn py lgi sale,Neutral
Ye bary size mein b avail hsi,Neutral
Bannu me kaha mile ga,Neutral
Nihayat hi afsos k sath kehna parta hai ye article soloto py hai hi nhn sara soloto chaaan mara hai online store,Negative
Ya adhi qimat hy mager yha ki sale to kuch aur hy . Misal Ky 1800 rs py 50?% 250 rs banaty hain,Neutral
Khushab main kahan mlay ga,Neutral
bai rawalpindi mein available hai,Neutral
Multan Ma Kahn mily GA,Neutral
Warsak road Peshawar may hn??,Neutral
waha pr nahe hain,Negative
Mujy b chy hian kahan s melty hin,Neutral
7 size mil jay ga,Neutral
Bilal saab 1 mere lye b,Neutral
Kia 39 no ho ga,Neutral
Mujy ye wala e colr zarort ha,Neutral
Pic par or oti chez bejty or,Negative
Har kism ky joty par sail hy kia,Neutral
Sale KB tk rehe gy,Neutral
Sambrial main kHa mily gy?,Neutral
lahore ma mil ja a ga,Neutral
kia khyl hy,Neutral
Acha hi bubloo,Positive
to la a na bhai,Neutral
Soucha ja sakta ha,Positive
Ya comment main share krni hai?,Neutral
Kdr see milte hn?,Neutral
Gulshan main servis shop kaha ha?,Neutral
kb tk Valid he ?,Neutral
In patwareyon ka door door tak sharam sy koi wasta nahi hy.,Negative
65 number available hi Khan g,Neutral
"Jo log keeray nikal rahay hain, mujhay yahi style aur finishing walay shoes kisi aur brand men 1900 men dila day?",Negative
Servise walon ki chalaaki chek kro.. Ek to expire shoes dosra Jo shoes 2 years pehlay 1500 k thay unhi pe 1999 ka tag laga k discount k sath 1500 ka he day rhay hen,Negative
khoobsurat collection,Positive
mujhay block color pasand ha,Positive
bohat buri customer service ha,Negative
mujhay khaadi ki kids collection pasand ha,Positive
is suite ki kia price ha,Neutral
Web sight dekhay nahi dahtay,Negative
mujhay small size chahiye,Neutral
is kurti ko kesay order karen?,Neutral
khaadi ka store aj khula ha?,Neutral
ye online available kyun nai hain?,Neutral
Loout mar mchii hoi ha inhoo nay,Negative
pata nai kyu lalachh bard ra mera.,Neutral
mujhay khaadi me job chahiye,Neutral
ye stitche ha dekh kar aye hain,Neutral
kia ap ki koi shop uae me ha?,Neutral
ye konsa stuff ha?,Neutral
Kindly price b mention krr dia kren,Negative
uper mention hain 3500,Neutral
mujhay khaddi ka fabric pasand nai ha,Negative
1 bar dhulne k bad is ka color utar jata ha,Negative
Y shirt kytny k hy?,Neutral
Fbric kn sa hi?,Neutral
